,Unnamed: 0,File,Version,Density,CC,KD,VocUni,Vdyn,AddVdyn,RemVdyn,ChangeRatio,AddCR,RemCR,Growth
0,0,http://example.com/dbpedia_3-5,0,2.60063e-07,0,8.39021,0.28087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,http://example.com/dbpedia_3-5-1,1,2.52871e-07,0,7.97399,0.281771,0.0374819144709143,0.0368775321272094,0.0006043823437048,0.108777,0.0751836,0.0413947,1.03379
2,2,http://example.com/dbpedia_3-6,2,2.42842e-07,0,8.37042,0.265432,0.2414619670989212,0.174045611346029,0.0674163557528921,0.427363,0.401221,0.200175,1.20105
3,3,http://example.com/dbpedia_3-7,3,2.2647e-07,0,10.4764,0.222594,0.3119556559390672,0.2031255282953062,0.108830127643761,0.490514,0.545303,0.20742,1.33788
4,4,http://example.com/dbpedia_3-8,4,1.99186e-07,0,10.6271,0.20589,0.3140126232000569,0.2215143270608364,0.0924982961392204,0.490754,0.494245,0.232309,1.26194
5,5,http://example.com/dbpedia_3-9,5,1.35706e-07,0,9.28778,0.202428,0.2676707809349946,0.2170437951502916,0.0506269857847029,0.335825,0.340078,0.105246,1.23483
6,6,http://example.com/dbpedia_2015-04,6,6.61339e-08,0,5.87869,0.302576,0.4993176901173113,0.3577858902513345,0.1415317998659768,0.756985,0.525936,0.612233,0.913703
7,7,http://example.com/dbpedia_2015-10,7,6.06053e-08,0,6.50652,0.288855,0.2942893003340802,0.1590267737688797,0.1352625265652004,0.448212,0.332891,0.257559,1.07533
8,8,http://example.com/dbpedia_2016-04,8,6.29434e-08,0,6.29364,0.287397,0.1043910061019755,0.0473502076805713,0.0570407984214041,0.122525,0.061884,0.0669261,0.994958
9,9,http://example.com/dbpedia_2016-10,9,7.22039e-08,0,4.57883,0.286786,0.216998209862279,0.0848552037212825,0.1321430061409964,0.290749,0.138825,0.188768,0.950057
10,10,http://example.com/dbpedia_2019-08,10,1.03608e-07,0,5.04262,0.354367,0.4908394550343551,0.1726764349149927,0.3181630201193624,0.638011,0.216478,0.551256,0.665222
11,11,http://example.com/dbpedia_2019-09,11,1.01721e-07,0,5.02785,0.356466,0.0337655667693191,0.0226647650043821,0.0111008017649369,0.0416606,0.0242692,0.0181432,1.00613
12,12,http://example.com/wiki_20140526,0,5.25349e-08,0,2.19131,0.458562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,http://example.com/wiki_20140804,1,4.27253e-08,0,2.37421,0.448906,0.1576518756785826,0.1425482777085539,0.0151035979700287,0.283052,0.261225,0.0900678,1.17116
14,14,http://example.com/wiki_20141110,2,4.02641e-08,0,2.56068,0.434743,0.1391960444390712,0.1073831180566142,0.031812926382457,0.25629,0.211778,0.0931737,1.1186
15,15,http://example.com/wiki_20150223,3,3.66193e-08,0,2.70159,0.425291,0.2097146433817071,0.1304004311762738,0.0793142122054332,0.333496,0.263718,0.14874,1.11498
16,16,http://example.com/wiki_20150601,4,3.31296e-08,0,2.82759,0.423513,0.091360209916565,0.08608721140896,0.0052729985076049,0.101548,0.101178,0.00833105,1.09285
17,17,http://example.com/wiki_20150817,5,3.03479e-08,0,2.82579,0.426198,0.0744213208143181,0.0709439175118936,0.0034774033024245,0.106787,0.0900638,0.023699,1.06636
18,18,http://example.com/wiki_20151012,6,2.88003e-08,0,3.23276,0.424684,0.0807618833275728,0.059041155090832,0.0217207282367407,0.0721173,0.0602543,0.0144042,1.04585
19,19,http://example.com/wiki_20151228,7,3.92248e-08,0,2.73739,0.43497,0.3322287104001458,0.046791846432318,0.2854368639678278,0.380801,0.0598412,0.333752,0.72609
20,20,http://example.com/wiki_20160328,8,2.56519e-08,0,3.76407,0.398193,0.3976974039543606,0.3520090300370115,0.045688373917349,0.433972,0.661779,0.0389089,1.62287
21,21,http://example.com/wiki_20160621,9,2.3613e-08,0,3.89862,0.395381,0.070621527221316,0.0653286194905037,0.0052929077308123,0.0918658,0.0862141,0.0105634,1.07565
22,22,http://example.com/wiki_20160801,10,2.27351e-08,0,4.21189,0.394805,0.041924617825964,0.0398541526660369,0.0020704651599271,0.0475021,0.0449259,0.00315998,1.04177
